Ticker,Code_ISIN,Emetteur,Instrument,Categorie,Compartiment,compartiment_market_share%,Nombre_titres,close,market_cap,relative_size,compartiment_market_share
ADH,MA0000011512,DOUJA PROMOTION GROUPE ADDOHA SA,DOUJA PROM ADDOHA,Actions 1ère Ligne,Principal A,91.09320254361985,402 551 254,37.6,15135927150.4,1.949995839443797,91.09320254361985
ADI,MA0000011819,ALLIANCES DEVELOPPEMENT IMMOBILIER SA,ALLIANCES,Actions 1ère Ligne,Principal A,91.09320254361985,22 078 588,590.0,13026366920.0,1.678216408196509,91.09320254361985
AFI,MA0000012114,AFRIC INDUSTRIES SA,AFRIC INDUSTRIES SA,Actions 1ère Ligne,Principal B,7.797046566119251,291 500,327.5,95466250.0,0.01229913360823633,7.797046566119251
AFM,MA0000012296,AFMA SA,AFMA,Actions 1ère Ligne,Principal B,7.797046566119251,1 000 000,1330.0,1330000000.0,0.1713469178788768,7.797046566119251
AKT,MA0000012585,AKDITAL,AKDITAL,Actions 1ère Ligne,Principal A,91.09320254361985,14 159 207,1350.0,19114929450.0,2.462619734383213,91.09320254361985
ALM,MA0000010936,ALUMINIUM DU MAROC,ALUMINIUM DU MAROC,Actions 1ère Ligne,Principal B,7.797046566119251,465 954,1800.0,838717200.0,0.10805383999398607,7.797046566119251
ARD,MA0000012460,ARADEI CAPITAL,ARADEI CAPITAL,Actions 1ère Ligne,Principal F,0.704343607116884,12 568 130,435.0,5467136550.0,0.704343607116884,0.704343607116884
ATH,MA0000010969,AUTO HALL,AUTO HALL,Actions 1ère Ligne,Principal B,7.797046566119251,50 294 528,95.0,4777980160.0,0.6155580256409192,7.797046566119251
ATL,MA0000011710,ATLANTASANAD,ATLANTASANAD,Actions 1ère Ligne,Principal A,91.09320254361985,60 283 595,138.0,8319136110.0,1.0717731818521568,91.09320254361985
ATW,MA0000012445,ATTIJARIWAFA BANK,ATTIJARIWAFA BANK,Actions 1ère Ligne,Principal A,91.09320254361985,215 140 839,731.5,157375523728.5,20.275045819889108,91.09320254361985
BCI,MA0000010811,BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE,BMCI,Actions 1ère Ligne,Principal A,91.09320254361985,13 279 286,520.0,6905228720.0,0.8896162845268433,91.09320254361985
BCP,MA0000011884,BANQUE CENTRALE POPULAIRE,BCP,Actions 1ère Ligne,Principal A,91.09320254361985,203 312 473,278.0,56520867494.0,7.281711609727289,91.09320254361985
BOA,MA0000012437,BANK OF AFRICA,BANK OF AFRICA,Actions 1ère Ligne,Principal A,91.09320254361985,220 281 881,224.9,49541395036.9,6.382530336084735,91.09320254361985
CDM,MA0000010381,CREDIT DU MAROC,CDM,Actions 1ère Ligne,Principal A,91.09320254361985,10 881 214,967.0,10522133938.0,1.3555903908158107,91.09320254361985
CIH,MA0000011454,CREDIT IMMOBILIER ET HOTELIER,CIH,Actions 1ère Ligne,Principal A,91.09320254361985,35 605 624,402.0,14313460848.0,1.8440356394622361,91.09320254361985
CMA,MA0000010506,CIMENTS DU MAROC,CIMENTS DU MAROC,Actions 1ère Ligne,Principal A,91.09320254361985,14 436 004,1900.0,27428407600.0,3.5336639884101952,91.09320254361985
CMT,MA0000011793,COMPAGNIE MINIERE DE TOUISSIT,MINIERE TOUISSIT,Actions 1ère Ligne,Principal B,7.797046566119251,1 681 233,1610.0,2706785130.0,0.3487212702149434,7.797046566119251
COL,MA0000011934,COLORADO,COLORADO,Actions 1ère Ligne,Alternatif A,0.40540728314402824,16 117 611,82.0,1321644102.0,0.1702704085793202,0.40540728314402824
CRS,MA0000011868,CARTIER SAADA,CARTIER SAADA,Actions 1ère Ligne,Principal B,7.797046566119251,5 265 000,34.6,182169000.0,0.02346924562637376,7.797046566119251
CSR,MA0000012247,COSUMAR,COSUMAR,Actions 1ère Ligne,Principal A,91.09320254361985,94 487 143,198.0,18708454314.0,2.4102526202869745,91.09320254361985
CTM,MA0000010340,COMPAGNIE DE TRANSPORT AU MAROC,CTM,Actions 1ère Ligne,Principal B,7.797046566119251,1 225 978,871.0,1067826838.0,0.1375705545260501,7.797046566119251
DHO,MA0000011850,DELTA HOLDING,DELTA HOLDING,Actions 1ère Ligne,Principal B,7.797046566119251,87 600 000,71.5,6263400000.0,0.8069280341673359,7.797046566119251
DRI,MA0000011421,DARI COUSPATE,DARI COUSPATE,Actions 1ère Ligne,Principal B,7.797046566119251,298 375,4200.0,1253175000.0,0.1614493788066627,7.797046566119251
DYT,MA0000012536,DISTY TECHNOLOGIES,DISTY TECHNOLOGIES,Actions 1ère Ligne,Alternatif A,0.40540728314402824,998 110,360.0,359319600.0,0.04629195939358711,0.40540728314402824
EQD,MA0000010357,EQDOM,EQDOM,Actions 1ère Ligne,Principal B,7.797046566119251,1 670 250,1246.0,2081131500.0,0.2681168934027396,7.797046566119251
FBR,MA0000011587,FENIE BROSSETTE,FENIE BROSSETTE,Actions 1ère Ligne,Principal B,7.797046566119251,1 438 984,428.0,615885152.0,0.07934588162598763,7.797046566119251
GAZ,MA0000010951,AFRIQUIA GAZ,AFRIQUIA GAZ,Actions 1ère Ligne,Principal A,91.09320254361985,3 437 500,4030.0,13853125000.0,1.7847295276246729,91.09320254361985
IAM,MA0000011488,ITISSALAT AL-MAGHRIB,ITISSALAT AL-MAGHRIB,Actions 1ère Ligne,Principal A,91.09320254361985,879 095 340,115.0,101095964100.0,13.024422450021486,91.09320254361985
IBC,MA0000011132,IB MAROC.COM SA,IB MAROC.COM,Actions 1ère Ligne,Principal B,7.797046566119251,417 486,72.99,30472303.14,0.003925815957676555,7.797046566119251
INV,MA0000011579,INVOLYS,INVOLYS,Actions 1ère Ligne,Alternatif A,0.40540728314402824,382 716,234.9,89899988.4,0.011582019496005095,0.40540728314402824
JET,MA0000012080,JET CONTRACTORS,JET CONTRACTORS,Actions 1ère Ligne,Principal B,7.797046566119251,3 029 522,2525.0,7649543050.0,0.9855079885708893,7.797046566119251
LBV,MA0000011801,LABEL VIE,LABEL VIE,Actions 1ère Ligne,Principal A,91.09320254361985,2 893 957,4490.0,12993866930.0,1.6740293607396712,91.09320254361985
LHM,MA0000012320,LAFARGEHOLCIM MAROC,LAFARGEHOLCIM MAROC,Actions 1ère Ligne,Principal A,91.09320254361985,23 431 240,1850.0,43347794000.0,5.584594660713134,91.09320254361985
M2M,MA0000011678,M2M GROUP,M2M Group,Actions 1ère Ligne,Principal B,7.797046566119251,647 777,477.0,308989629.0,0.039807835026832786,7.797046566119251
MIC,MA0000012163,MICRODATA,MICRODATA,Actions 1ère Ligne,Alternatif A,0.40540728314402824,1 680 000,819.0,1375920000.0,0.1772628956751159,0.40540728314402824
MLE,MA0000010035,MAROC LEASING,MAROC LEASING,Actions 1ère Ligne,Principal B,7.797046566119251,2 776 768,365.95,1016158249.6,0.13091397304222133,7.797046566119251
MNG,MA0000011058,MANAGEM,MANAGEM,Actions 1ère Ligne,Principal A,91.09320254361985,11 864 676,6100.0,72374523600.0,9.324174099106788,91.09320254361985
MOX,MA0000010985,MAGHREB OXYGENE,MAGHREB OXYGENE,Actions 1ère Ligne,Principal B,7.797046566119251,812 500,387.0,314437500.0,0.040509696609428054,7.797046566119251
MUT,MA0000012395,MUTANDIS SCA,MUTANDIS SCA,Actions 1ère Ligne,Principal B,7.797046566119251,9 246 737,257.8,2383808798.6,0.30711149658094594,7.797046566119251
RDS,MA0000012239,RESIDENCES DAR SAADA,RESIDENCES DAR SAADA,Actions 1ère Ligne,Principal B,7.797046566119251,26 208 850,177.05,4640276892.5,0.5978174012289075,7.797046566119251
REB,MA0000010993,REBAB COMPANY,REBAB COMPANY,Actions 1ère Ligne,Principal B,7.797046566119251,176 456,113.9,20098338.4,0.0025893145408471246,7.797046566119251
RIS,MA0000011462,RISMA,RISMA,Actions 1ère Ligne,Principal B,7.797046566119251,14 326 947,396.0,5673471012.0,0.7309261440461292,7.797046566119251
S2M,MA0000012106,SOCIETE MAGHREBINE DE MONETIQUE,S.M MONETIQUE,Actions 1ère Ligne,Principal B,7.797046566119251,812 070,596.0,483993720.0,0.062354009168971485,7.797046566119251
SID,MA0000010019,SOCIETE NATIONALE DE SIDERURGIE SA,SONASID,Actions 1ère Ligne,Principal B,7.797046566119251,3 900 000,2303.0,8981700000.0,1.1571327912125622,7.797046566119251
SLF,MA0000011744,SALAFIN,SALAFIN,Actions 1ère Ligne,Principal B,7.797046566119251,3 124 119,618.0,1930705542.0,0.24873717590478667,7.797046566119251
SMI,MA0000010068,SOCIETE METALLURGIQUE D'IMITER,SMI,Actions 1ère Ligne,Principal B,7.797046566119251,1 645 090,2743.0,4512481870.0,0.581353278502865,7.797046566119251
SNP,MA0000011728,SOCIETE NATIONALE D'ELECTROLYSE ET DE PETROCHIMIE,SNEP,Actions 1ère Ligne,Principal B,7.797046566119251,2 400 000,501.0,1202400000.0,0.15490792034403117,7.797046566119251
SOT,MA0000012502,SOCIETE DE THERAPEUTIQUE MAROCAINE,SOTHEMA,Actions 1ère Ligne,Principal A,91.09320254361985,7 200 000,1775.0,12780000000.0,1.6464763988661992,91.09320254361985
SRM,MA0000011595,SOCIETE DE REALISATIONS MECANIQUES,REALISATIONS MECANIQUES,Actions 1ère Ligne,Principal B,7.797046566119251,320 000,499.5,159840000.0,0.02059254989004486,7.797046566119251
TQM,MA0000012205,TAQA MOROCCO,TAQA MOROCCO,Actions 1ère Ligne,Principal A,91.09320254361985,23 588 542,2277.0,53711110134.0,6.919724193469026,91.09320254361985
